epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
3,90.0,G08,G,-2288.1355,-3.076294,0.0000,0.0000,16.270,4730.9551,2348.1640,0.0000,3,0,1
33,990.0,G08,G,-2177.2260,-6.230392,0.0000,0.0000,20.013,893.0909,447.1299,0.0000,30,0,2
58,1740.0,G08,G,-2498.5179,-6.527816,0.0000,0.0000,23.441,135.9663,237.2397,0.0000,25,0,3
59,1770.0,G08,G,-2510.2019,-4.834980,0.0000,0.0000,23.583,20000.0000,nan,nan,1,0,6
62,1860.0,G08,G,-2525.4159,-4.815732,0.0000,0.0000,24.013,3275.5203,226.2192,0.0000,3,0,7
75,2250.0,G08,G,-882.2712,0.695367,0.0000,0.0000,25.914,6883.2696,125.5462,0.0000,13,0,8
86,2580.0,G09,G,-3070.6929,-6.744292,0.0000,0.0000,15.631,254.1601,125.6877,0.0000,26,0,9
89,2670.0,G09,G,-3090.9623,-7.274233,0.0000,0.0000,16.093,4755.0905,195.1126,0.0000,3,0,10
97,2910.0,G26,G,-4688.5411,-2.735958,0.0000,0.0000,20.382,50.1867,322.7099,0.0000,97,0,12
102,3060.0,G07,G,-96.5709,0.003203,0.0000,0.0000,16.039,82.6016,254.6976,0.0000,66,0,13
111,3330.0,G01,G,2428.8038,9.299612,0.0000,0.0000,15.398,56.4512,125.2224,0.0000,111,0,14
