epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
2,60.0,G08,G,-2242.5538,-4.916494,0.0000,0.0000,16.152,20000.0000,nan,1.0000,2,0,1
3,90.0,G08,G,-2288.1355,-3.076294,0.0000,0.0000,16.270,20000.0000,nan,nan,1,0,2
33,990.0,G08,G,-5843.0655,-21.241392,0.0000,0.0000,20.013,734.8741,40.4602,0.8571,30,1,3
39,1170.0,G31,G,187.4329,13.213651,0.0000,0.0000,19.478,20000.0003,nan,1.0000,39,1,4
41,1230.0,G31,G,203.1702,14.738963,0.0000,0.0000,19.234,20000.0000,nan,1.0000,2,0,5
42,1260.0,G31,G,200.7091,16.359205,0.0000,0.0000,19.112,20000.0000,nan,nan,1,0,6
44,1320.0,G31,G,203.8426,14.093433,0.0000,0.0000,18.871,20000.0000,nan,1.0000,2,0,7
58,1740.0,G08,G,-6150.1932,-21.480816,0.0000,0.0000,23.441,19014.1942,nan,1.0000,25,1,8
59,1770.0,G08,G,-6168.7151,-19.815980,0.0000,0.0000,23.583,20000.0000,nan,nan,1,0,9
62,1860.0,G08,G,-6192.4764,-19.831732,0.0000,0.0000,24.013,20000.0000,nan,1.0000,3,0,10
75,2250.0,G08,G,-2834.7319,-7.299633,0.0000,0.0000,25.914,19975.8198,nan,1.0000,13,0,11
86,2580.0,G09,G,-1847.1997,-1.734292,0.0000,0.0000,15.631,20000.0000,nan,1.0000,26,1,12
89,2670.0,G09,G,-1871.1323,-2.279233,0.0000,0.0000,16.093,20000.0000,nan,1.0000,3,0,13
91,2730.0,E04,E,-4839.8978,16.153294,0.0000,0.0000,22.134,20000.0007,nan,1.0000,91,1,14
92,2760.0,E04,E,-4831.2039,14.256030,0.0000,0.0000,22.094,20000.0000,nan,nan,1,0,15
96,2880.0,G26,G,-6413.3598,-11.705683,0.0000,0.0000,20.580,20000.0007,nan,1.0000,96,1,16
97,2910.0,G26,G,-6394.5937,-9.721958,0.0000,0.0000,20.382,20000.0000,nan,nan,1,0,17
101,3030.0,E04,E,-4620.7954,15.844934,0.0000,0.0000,21.721,189.9290,20.8450,0.8571,9,1,18
102,3060.0,G07,G,1366.9809,5.996203,0.0000,0.0000,16.039,20000.0004,nan,1.0000,66,1,19
103,3090.0,E04,E,-4596.4493,13.780302,0.0000,0.0000,21.634,299.0220,8.0034,0.0000,2,0,20
