SOD,P1_RMS_mm,P2_RMS_mm,L1_RMS_mm,L2_RMS_mm,GPS_P2_RMS_mm,GAL_P2_RMS_mm,nP1,nP2,nL1,nL2,nL1_single,L1_single_RMS_mm
0.0,1139.3461,1422.0290,1184.1385,1184.2507,1436.2393,1383.4215,11,11,11,11,0,
30.0,338.7257,320.1262,183.8662,185.0920,386.9135,89.6564,12,12,12,12,0,
60.0,536.6671,832.2638,361.8599,364.7769,984.8559,371.6276,12,12,12,12,0,
90.0,161.1488,1122.9777,102.0141,109.3112,1373.3132,106.1040,12,12,12,12,0,
120.0,433.5175,1114.9695,94.3285,87.3398,1356.2060,225.5694,12,12,12,12,0,
150.0,274.4027,550.9748,72.9831,74.7094,659.2415,203.7670,12,12,12,12,0,
180.0,250.3882,227.7669,113.3862,128.2183,195.7148,281.1134,12,12,12,12,0,
210.0,351.5393,326.6837,53.6860,63.8609,384.7575,155.2095,12,12,12,12,0,
240.0,294.0273,346.7105,64.8599,69.9310,419.2066,95.6884,12,12,12,12,0,
270.0,319.9865,464.8523,72.4959,81.0988,566.2878,83.0624,12,12,12,12,0,
300.0,302.9355,476.6983,66.8187,64.4609,576.8133,127.6582,12,12,12,12,0,
330.0,293.1725,312.4950,107.9096,119.1333,357.8220,210.9076,11,11,11,11,0,
360.0,287.6976,275.5635,77.3680,74.1526,342.3863,60.5985,11,11,11,11,0,
390.0,154.6913,380.2619,72.7693,88.5230,466.6528,128.6823,11,11,11,11,0,
420.0,253.9868,438.9236,70.7414,68.2306,481.5953,352.0138,11,11,11,11,0,
450.0,277.5958,469.4469,45.1959,55.4283,554.9159,259.1632,11,11,11,11,0,
480.0,442.4777,818.9299,115.9903,124.8522,976.0024,326.7683,12,12,12,12,0,
510.0,384.4912,479.5198,30.5324,51.0696,535.9616,339.5702,12,12,12,12,0,
540.0,251.7641,415.8039,70.8918,77.0513,479.3105,243.3137,12,12,12,12,0,
570.0,260.3430,612.8954,49.6606,50.3377,713.0481,331.7337,12,12,12,12,0,
600.0,393.7951,673.3850,46.2462,45.7013,805.1370,252.6873,12,12,12,12,0,
630.0,239.8391,682.6307,44.8337,49.5226,787.5755,396.7411,12,12,12,12,0,
660.0,213.1458,627.1190,130.0557,134.9208,770.7876,204.4906,11,11,11,11,0,
690.0,197.7876,624.4033,57.2526,64.3857,725.0168,390.2334,11,11,11,11,0,
720.0,280.7332,438.3356,65.5385,72.4160,513.4632,258.8473,11,11,11,11,0,
750.0,274.4644,281.9855,82.2003,86.2723,292.8258,261.9377,11,11,11,11,0,
780.0,398.5784,357.2184,76.9410,84.6143,442.4824,90.9943,11,11,11,11,0,
810.0,353.0654,421.4131,70.4905,81.9701,518.3652,134.6859,11,11,11,11,0,
840.0,123.5001,525.5421,70.8890,86.7577,644.4012,181.2245,11,11,11,11,0,
