epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
0,0.0,-0.110800,2.944369,-1.836521,-1906.2302,179.4124,3471.9434,3000.0000,20.5876,6.6918e+04,9592.2205,5302.6320,38.4107,20000.00,20000.00,20000.00,nan,nan
1,30.0,-0.939435,1.112121,-0.969824,-2225.4966,170.7833,2189.7335,319.2664,8.6291,4.5561e+04,6691.9892,3695.6961,32.5804,6268.30,3672.84,9562.09,1441.0936,2882.8774
2,60.0,-0.568277,1.350930,0.810606,-851.9912,166.4434,1834.3168,1373.5053,4.3399,3.8964e+04,5487.0567,3033.8902,28.9402,3363.76,2130.64,4730.96,1188.5229,3087.2366
3,90.0,-0.323397,1.669409,2.122193,311.2812,164.0025,1371.7340,1163.2725,2.4409,3.5233e+04,4762.8788,2636.2613,26.4396,4793.03,1622.20,20000.00,842.3517,689.5046
4,120.0,-0.149148,2.643661,3.009113,1691.4788,162.6276,1328.9686,1380.1975,1.3749,3.2602e+04,4265.4654,2363.2800,24.6221,2953.30,1498.56,9396.40,678.6191,3719.2658
5,150.0,-0.273073,2.829151,2.916133,1800.3363,160.7071,241.6798,108.8575,1.9205,3.0510e+04,3896.8437,2161.3379,23.2520,2088.08,1407.61,4620.90,234.3636,2138.6118
6,180.0,-0.318535,2.496690,2.784707,1510.1323,159.0070,360.3750,290.2039,1.7001,2.8717e+04,3609.2909,2004.0523,22.1929,1704.27,1195.93,2812.25,281.6426,1175.7511
7,210.0,-0.272799,2.598538,2.838694,1659.9110,158.0641,124.0140,149.7787,0.9429,2.7116e+04,3376.8359,1877.1017,21.3595,1493.22,1049.24,1938.88,196.8770,1692.9119
8,240.0,-0.446885,2.647112,2.787557,1627.9183,156.9796,187.8299,31.9927,1.0845,2.5648e+04,3183.8059,1771.9241,20.6956,1369.61,1010.73,1800.90,91.8913,2246.1340
9,270.0,-0.670877,2.580869,2.538734,1294.0854,155.1914,341.2820,333.8329,1.7882,2.4291e+04,3020.0924,1682.9068,20.1612,1279.53,978.63,1722.36,260.7482,2267.6334
10,300.0,-0.865269,2.476459,2.451451,1143.3748,154.2510,237.2931,150.7106,0.9404,2.3029e+04,2878.8835,1606.2872,19.7277,1209.14,929.14,1654.57,153.8136,1166.3055
11,330.0,-0.860092,2.311851,2.465464,1047.9923,153.8041,165.2850,95.3825,0.4469,2.1765e+04,2756.3410,1540.9227,19.3765,1213.70,931.41,1595.39,137.2328,898.5354
12,360.0,-0.874471,2.413269,2.431316,1124.4961,153.4175,107.9747,76.5039,0.3866,2.0610e+04,2648.0029,1483.3358,19.0890,1175.00,913.58,1542.72,184.1784,1175.1114
13,390.0,-0.864722,2.344305,2.415403,1102.7172,153.0835,71.4445,21.7790,0.3340,1.9549e+04,2551.2859,1432.0820,18.8527,1139.07,897.27,1495.19,88.1098,1075.6776
