epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,isb_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,isb_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,isb_sigma_mm,gps_amb_sigma_mean_mm,gal_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gal_amb_sigma_min_mm,gps_amb_sigma_max_mm,gal_amb_sigma_max_mm,gps_phase_rms_mm,gal_phase_rms_mm,gps_code_rms_mm,gal_code_rms_mm
0,0.0,-0.654612,2.104023,0.990681,-877.4603,120.5513,4222.4503,2415.9637,1653.9357,79.4487,4222.4503,5.9049e+03,4388.8430,2854.8704,59.5700,1537.7255,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,nan,nan,nan,nan
1,30.0,-1.017635,1.093527,1.012688,-844.3681,120.2591,3924.9116,1073.9513,33.0922,0.2922,297.5388,5.5721e+03,3020.5315,2027.3843,42.2724,1083.9800,17718.17,20000.00,1745.38,20000.00,20000.00,20000.00,1575.4442,2275.4535,1280.5348,660.5517
2,60.0,-0.693575,1.201172,1.499875,-48.2024,120.3524,3636.3770,594.9389,796.1657,0.0934,288.5346,5.5326e+03,2446.0952,1700.3367,34.5567,884.3312,17685.17,15392.49,1481.38,1569.95,20000.00,20000.00,721.9231,1333.4463,1173.2174,1091.0505
3,90.0,-0.609429,1.223521,1.678645,309.6258,120.4152,3473.5400,198.8440,357.8281,0.0628,162.8370,5.4203e+03,2108.9623,1420.0317,29.9455,765.7129,15310.21,15349.10,1233.16,1396.39,20000.00,20000.00,877.1740,1485.2006,640.6925,424.1316
4,120.0,-0.827485,1.243232,1.554578,527.1200,120.4675,3493.1264,251.6535,217.4943,0.0523,19.5864,5.5661e+03,1881.6638,1388.7191,26.7943,684.8184,15283.02,15321.27,1125.85,1285.08,20000.00,20000.00,982.0640,1599.1764,3503.3258,337.7752
5,150.0,-0.958893,1.208568,1.467631,163.7245,120.4247,3551.8484,161.3361,363.3955,0.0428,58.7220,5.6038e+03,1714.4419,1299.7636,24.4664,625.0174,15263.35,15301.71,1048.34,1206.82,20000.00,20000.00,952.2093,1580.4987,1429.8075,508.2417
6,180.0,-0.898902,1.016238,1.474806,137.8080,120.3825,3627.3925,201.5967,25.9165,0.0422,75.5441,5.3819e+03,1584.7347,1085.8623,22.6563,578.4809,15237.11,15287.12,943.37,1148.48,20000.00,20000.00,1037.0764,1628.1025,505.2855,631.5608
7,210.0,-0.860955,0.983761,1.458961,-57.4048,120.3585,3598.4195,52.4009,195.2128,0.0240,28.9730,5.6839e+03,1479.6825,1177.7651,21.1968,540.8783,12868.80,15275.79,894.13,1103.17,20000.00,20000.00,968.7468,1549.6479,1416.7769,905.7595
8,240.0,-0.979278,0.917222,1.369190,-335.7871,120.3464,3666.0914,162.7472,278.3823,0.0121,67.6718,5.7412e+03,1393.3901,1135.8875,19.9876,509.7555,12853.58,15266.72,854.32,1066.89,20000.00,20000.00,1291.4594,1819.7153,1479.1755,557.9192
9,270.0,-1.045164,0.859831,1.308307,-521.1456,120.3198,3751.4596,106.4966,185.3585,0.0266,85.3683,5.2520e+03,1319.8702,885.1231,18.9645,483.3956,12831.94,15202.31,784.59,809.25,20000.00,20000.00,1053.4411,1519.8079,1081.6743,616.0126
10,300.0,-1.123040,0.923161,1.383092,-214.2173,120.2827,3720.5719,125.1726,306.9283,0.0370,30.8877,5.8498e+03,1257.1983,1070.0459,18.0844,460.7081,12820.69,15194.40,754.42,777.59,20000.00,20000.00,974.9535,1469.5983,1134.1691,665.4143
11,330.0,-1.101588,0.835091,1.364265,-267.6414,120.2293,3702.6816,92.5795,53.4241,0.0534,17.8903,4.5963e+03,1148.4737,763.5120,17.3132,441.0948,14483.28,15183.76,690.29,735.04,20000.00,20000.00,1154.6872,1604.6103,641.4561,737.7177
12,360.0,-1.135356,0.854634,1.354647,-430.9864,120.1817,3696.0092,40.1836,163.3450,0.0476,6.6724,5.5286e+03,1109.6148,1006.4300,16.6364,423.9840,14478.38,15177.81,672.72,711.24,20000.00,20000.00,1131.4592,1574.9889,1293.9348,727.7793
13,390.0,-1.145632,0.791137,1.334963,-452.8295,120.1745,3689.6478,67.2678,21.8431,0.0072,6.3613,4.8687e+03,1074.4656,741.7063,16.0334,408.6973,14470.92,15169.99,645.75,679.96,20000.00,20000.00,1255.9305,1715.8773,1004.4180,321.0654
14,420.0,-1.107563,1.273517,1.627855,-5.0160,120.6990,3650.5412,565.6194,447.8135,0.5245,39.1067,3.2813e+03,916.7768,585.0374,15.4852,394.3696,14443.24,15162.00,548.20,647.98,20000.00,20000.00,779.9863,1238.0349,833.9635,688.9767
15,450.0,-0.876519,2.570321,2.689652,1248.6396,121.1076,3557.7765,1691.8907,1253.6556,0.4087,92.7647,2.2021e+03,754.1777,446.7763,14.9931,381.0878,14409.34,15155.57,416.23,622.29,20000.00,20000.00,436.6747,901.2292,1954.7666,1389.7413
16,480.0,-0.917606,2.403731,2.644302,1191.8497,121.1156,3554.8842,177.4735,56.7899,0.0080,2.8923,2.1827e+03,724.4723,423.5064,14.5474,369.5866,15102.92,15150.35,395.53,601.39,20000.00,20000.00,1353.0950,1755.8204,2329.6802,625.6886
17,510.0,-0.923907,2.387606,2.640802,998.0393,121.1417,3552.7226,17.6630,193.8105,0.0261,2.1616,3.7839e+03,705.3497,796.2759,14.1397,359.0953,15101.13,15146.85,389.20,587.38,20000.00,20000.00,983.4658,1455.0640,1817.2990,1104.6795
18,540.0,-0.843195,2.341972,2.683436,904.7158,120.7805,3558.5810,102.0512,93.3235,0.3612,5.8584,2.1881e+03,687.1116,405.1690,13.7634,349.4101,15097.86,15142.23,376.88,568.91,20000.00,20000.00,1153.6645,1647.7085,1903.2748,844.9698
19,570.0,-0.927836,1.542723,2.325943,177.1873,119.2000,3622.7762,879.6391,727.5285,1.5805,64.1951,2.1545e+03,660.5218,383.4572,13.4147,340.4473,15093.84,15137.87,361.01,551.47,20000.00,20000.00,1720.3110,2164.8615,2208.2468,1221.3648
20,600.0,-1.027525,1.060870,2.091084,-229.2019,118.2421,3620.2846,545.2332,406.3891,0.9579,2.4915,2.1487e+03,639.6389,368.0699,13.0919,332.1370,15090.65,15133.94,348.63,535.74,20000.00,20000.00,1547.4940,1982.6024,2433.8378,596.1251
21,630.0,-1.017517,1.108573,2.074951,15.5702,118.3241,3621.8501,51.3423,244.7721,0.0819,1.5655,4.4066e+03,625.7938,776.9050,12.7932,324.4271,15089.32,15131.42,343.89,525.69,20000.00,20000.00,1177.3986,1611.1889,1408.8974,789.4431
22,660.0,-1.033425,1.164572,2.059139,-141.3949,118.3408,3624.1847,60.3245,156.9651,0.0167,2.3346,4.5866e+03,612.9192,779.7370,12.5143,317.2737,14386.40,15129.08,339.49,516.32,20000.00,20000.00,1263.4464,1658.4859,1194.8056,753.9397
23,690.0,-1.020529,1.191386,2.050158,-114.3353,118.4030,3635.1938,31.0793,27.0595,0.0622,11.0090,2.1415e+03,600.8441,348.7858,12.2531,310.5579,14383.99,15126.06,331.80,504.26,20000.00,20000.00,1297.1389,1696.7155,1108.0256,1054.1679
24,720.0,-0.996740,1.182515,2.051096,-177.5673,118.4821,3641.7632,25.4068,63.2319,0.0792,6.5695,2.1262e+03,587.4561,342.6723,12.0052,304.1854,14381.59,15122.64,323.46,490.57,20000.00,20000.00,1221.5452,1621.4920,1434.4111,1010.5661
25,750.0,-0.995888,1.180966,2.046029,-105.2450,118.6273,3652.9324,5.3668,72.3223,0.1452,11.1692,2.1167e+03,576.9066,333.2770,11.7745,298.2393,14379.56,15120.07,317.02,480.29,20000.00,20000.00,1304.2902,1680.3496,1262.2776,939.1961
26,780.0,-1.003126,1.160752,2.051216,-122.1398,118.6831,3669.1406,22.0883,16.8948,0.0558,16.2082,2.1148e+03,566.9493,326.7194,11.5569,292.6233,14377.68,15117.67,311.06,470.68,20000.00,20000.00,1318.3602,1688.0315,1725.9869,534.4384
27,810.0,-1.004370,1.137713,2.055318,-305.5005,118.7676,3660.5029,23.4349,183.3607,0.0845,8.6377,5.2448e+03,557.5495,770.1182,11.3511,287.3153,14376.65,15115.97,307.78,463.89,20000.00,20000.00,1223.4787,1590.2322,1702.1083,660.7114
28,840.0,-1.010883,1.140143,2.052369,-251.3332,118.8328,3649.1804,7.5513,54.1673,0.0652,11.3224,2.1163e+03,548.6215,317.1692,11.1561,282.2732,14374.95,15113.80,302.43,455.19,20000.00,20000.00,1320.3681,1699.1196,1010.2047,388.2084
29,870.0,-1.046757,1.132311,2.048159,-241.1153,118.9965,3648.8764,36.9599,10.2178,0.1637,0.3040,2.0935e+03,536.1638,314.2955,10.9668,277.3557,14372.97,15110.51,294.78,442.04,20000.00,20000.00,1193.9796,1576.1454,1308.0294,894.6041
30,900.0,-1.064999,1.112280,2.054017,-265.9217,119.0370,3653.5470,27.7179,24.8064,0.0405,4.6705,2.0808e+03,528.2970,305.2572,10.7911,272.8012,14371.49,15108.63,290.17,434.53,20000.00,20000.00,1354.7839,1733.4364,707.0127,807.2693
31,930.0,-1.038351,1.096559,2.057678,-953.5450,119.0905,3657.7274,31.1559,687.6233,0.0534,4.1804,5.7750e+03,520.8190,764.2140,10.6238,268.4672,14370.66,15107.30,287.54,429.20,20000.00,20000.00,1649.4088,2015.8261,1393.5589,610.8796
32,960.0,-1.032090,1.127852,2.045063,-710.8117,119.1497,3674.3759,34.3158,242.7333,0.0592,16.6485,5.9111e+03,513.6809,763.0317,10.4642,264.3295,14369.87,15106.03,285.04,424.13,20000.00,20000.00,1368.9003,1720.1559,1635.5465,1067.8358
33,990.0,-1.010797,1.105750,2.051243,-241.2190,119.1911,3691.1978,31.3059,469.5927,0.0415,16.8220,6.0908e+03,507.3201,764.0696,10.3118,260.3500,15072.99,15104.79,282.60,419.16,20000.00,20000.00,1455.4661,1792.9131,2103.9169,692.1495
34,1020.0,-1.022584,1.134454,2.045928,-236.1867,119.1543,3695.9046,31.4809,5.0323,0.0368,4.7068,6.2256e+03,501.2110,762.8109,10.1661,256.5398,15072.36,15103.61,280.29,414.42,20000.00,20000.00,1244.5779,1655.3652,2313.1202,959.0577
35,1050.0,-1.001008,1.183442,2.028014,-207.7071,119.1934,3689.2100,56.4473,28.4796,0.0391,6.6946,2.1112e+03,494.8516,290.4089,10.0265,252.8282,15071.22,15102.02,276.16,408.06,20000.00,20000.00,1255.9931,1679.6700,2547.7651,267.3466
36,1080.0,-0.999608,1.200882,2.020572,-40.1259,119.2296,3685.4017,19.0128,167.5812,0.0362,3.8083,6.1846e+03,488.5375,741.6773,9.8928,249.2476,16056.47,15100.88,273.90,403.52,20000.00,20000.00,2927.1470,1702.1438,1938.0044,433.3713
37,1110.0,-0.997293,1.210780,2.015829,-10.8987,119.2515,3690.0448,11.2168,29.2272,0.0219,4.6431,2.1486e+03,482.4337,290.5483,9.7644,245.8094,16055.54,15099.29,269.90,397.16,20000.00,20000.00,2819.6013,1512.1139,965.8420,347.3678
38,1140.0,-1.022438,1.302481,1.948223,-33.5894,119.8644,3720.8888,116.6703,22.6907,0.6129,30.8439,2.0651e+03,468.0959,283.7248,9.6344,242.2288,15992.36,15095.12,260.32,380.49,20000.00,20000.00,3777.7801,1473.9397,2089.7867,500.9962
39,1170.0,-1.022182,1.285936,1.946577,-195.9022,119.9112,3736.5243,16.6284,162.3128,0.0468,15.6355,6.5429e+03,462.8224,737.9257,9.5161,239.0614,15991.79,15094.21,258.43,376.86,20000.00,20000.00,3784.0722,1757.9457,1964.6303,980.0905
40,1200.0,-1.014700,1.276600,1.946011,-315.9734,119.9360,3755.8990,11.9767,120.0712,0.0248,19.3747,6.8464e+03,458.0978,746.7559,9.4022,236.0560,15991.25,15093.34,256.67,373.36,20000.00,20000.00,3591.8735,1729.3905,3817.9394,1090.0064
41,1230.0,-1.038818,1.260984,1.948126,-373.0343,119.9580,3783.5799,28.8103,57.0609,0.0219,27.6809,2.0498e+03,453.1400,269.1754,9.2925,233.1129,15990.36,15092.08,253.49,368.33,20000.00,20000.00,3795.6644,1697.5389,1743.1479,763.2805
42,1260.0,-1.033303,1.269631,1.944710,-180.1485,119.9756,3796.8413,10.8107,192.8858,0.0176,13.2614,6.9267e+03,448.3980,735.3847,9.1867,230.2758,15989.86,15091.27,251.80,365.07,20000.00,20000.00,3790.0979,1661.8837,1330.7191,1060.7559
43,1290.0,-1.110925,1.574373,1.758256,-66.6838,121.3737,3846.1449,365.5925,113.4647,1.3982,49.3036,2.0354e+03,436.4458,270.5653,9.0799,227.3010,15966.25,15087.73,243.64,350.90,20000.00,20000.00,7367.2350,1331.6072,1449.4187,851.1366
44,1320.0,-1.184797,1.746409,1.644897,-15.4340,122.2213,3875.4515,218.8688,51.2497,0.8476,29.3065,2.0055e+03,428.2163,266.5275,8.9791,224.5333,15955.66,15085.35,237.96,341.39,20000.00,20000.00,10111.7041,1369.2687,1296.9777,1118.3459
45,1350.0,-1.177448,1.734698,1.644204,-57.5461,122.2025,3872.6267,13.8425,42.1121,0.0189,2.8247,1.9570e+03,424.2081,254.0816,8.8841,221.9811,15954.63,15084.36,235.37,337.45,20000.00,20000.00,9438.7145,1684.1575,1373.2699,475.0097
46,1380.0,-1.154708,1.724806,1.644225,-46.1762,122.1806,3870.0791,24.7984,11.3699,0.0219,2.5477,7.4052e+03,420.3658,731.4793,8.7922,219.5136,15953.92,15083.74,233.99,334.98,20000.00,20000.00,9531.7362,1512.6276,1592.8388,599.7520
