epoch,sod,total_phi_active,total_amb_states,total_valid_sats,sat,sys,elevation_deg,ki,n_mw_hist,mw_mean_cyc,mw_std_cyc,amb_sigma_m,amb_sigma_cyc,phi_active,wl_already_fixed,rejected_reason
0,0.0,0,8,8,G01,G,nan,6,1,-12.8653,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
0,0.0,0,8,8,G03,G,nan,7,1,-19.989,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
0,0.0,0,8,8,G04,G,nan,8,1,7.8465,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
0,0.0,0,8,8,G08,G,nan,9,1,-26.9344,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
0,0.0,0,8,8,G16,G,nan,10,1,3.9904,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
0,0.0,0,8,8,G26,G,nan,11,1,-17.2995,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
0,0.0,0,8,8,G27,G,nan,12,1,-5.8735,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
0,0.0,0,8,8,G31,G,nan,13,1,18.6676,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G01,G,nan,6,2,-12.7894,0.0759,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G03,G,nan,7,2,-19.9327,0.0563,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G04,G,nan,8,2,7.9225,0.076,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G08,G,nan,9,2,-26.9299,0.0045,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G16,G,nan,10,2,3.8093,0.1811,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G26,G,nan,11,2,-17.414,0.1146,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G27,G,nan,12,2,-5.6691,0.2044,300.0,348.0608,False,False,NOT_PHI_ACTIVE
1,30.0,0,8,8,G31,G,nan,13,2,18.6051,0.0625,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G01,G,nan,6,3,-12.6234,0.2427,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G03,G,nan,7,3,-19.8939,0.0716,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G04,G,nan,8,3,8.2387,0.4514,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G08,G,nan,9,0,nan,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G16,G,nan,10,3,3.8318,0.1512,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G26,G,nan,11,3,-17.5882,0.2635,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G27,G,nan,12,3,-5.7854,0.2343,300.0,348.0608,False,False,NOT_PHI_ACTIVE
2,60.0,0,8,8,G31,G,nan,13,3,18.6867,0.1261,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G01,G,nan,6,4,-12.6237,0.2102,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G03,G,nan,7,4,-19.8529,0.0943,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G04,G,nan,8,4,8.3846,0.4655,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G08,G,nan,9,0,nan,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G16,G,nan,10,4,3.7991,0.1427,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G26,G,nan,11,4,-17.6201,0.2348,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G27,G,nan,12,4,-5.8033,0.2053,300.0,348.0608,False,False,NOT_PHI_ACTIVE
3,90.0,0,8,8,G31,G,nan,13,4,18.7881,0.2068,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G01,G,nan,6,5,-12.6317,0.1887,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G03,G,nan,7,5,-19.7934,0.1459,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G04,G,nan,8,5,8.4937,0.4701,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G08,G,nan,9,1,-8.0488,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G16,G,nan,10,5,3.7806,0.1329,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G26,G,nan,11,5,-17.5833,0.2225,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G27,G,nan,12,5,-5.8425,0.1997,300.0,348.0608,False,False,NOT_PHI_ACTIVE
4,120.0,0,8,8,G31,G,nan,13,5,18.8415,0.2137,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G01,G,nan,6,61,-12.48,0.4348,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G02,G,nan,14,9,10.7433,0.4832,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G03,G,nan,7,61,-19.8513,0.1333,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G04,G,nan,8,61,9.2538,0.4501,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G07,G,nan,15,17,7.2564,0.8205,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G08,G,nan,9,1,-24.7936,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G09,G,nan,16,1,-8.1255,nan,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G16,G,nan,10,61,3.7358,0.1251,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G26,G,nan,11,61,-17.6944,0.3312,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G27,G,nan,12,61,-5.7308,0.3507,300.0,348.0608,False,False,NOT_PHI_ACTIVE
60,1800.0,0,11,10,G31,G,nan,13,4,18.2354,0.6652,300.0,348.0608,False,False,NOT_VISIBLE_THIS_EPOCH
120,3600.0,0,11,8,G01,G,nan,6,1,-12.5133,nan,300.0,348.0608,False,False,NOT_VISIBLE_THIS_EPOCH
120,3600.0,0,11,8,G02,G,nan,14,5,10.2847,0.4798,300.0,348.0608,False,False,NOT_VISIBLE_THIS_EPOCH
