time,up_err,zwd,dzwd_dt,mw_mean,zwd_q_x2
0.0,2214.057,0.116727,1.1133,2.001,0
30.0,1499.883,0.117841,1.1537,2.081,0
60.0,1854.426,0.119035,0.9282,2.078,0
90.0,1897.512,0.119697,0.5270,2.075,0
120.0,1807.152,0.120089,0.1363,2.073,0
150.0,1685.893,0.119970,-0.0831,2.070,0
180.0,1512.956,0.119923,-0.0268,2.067,0
210.0,1496.592,0.119916,0.0120,2.065,0
240.0,1422.916,0.119947,-0.0034,2.063,0
270.0,1376.931,0.119909,-0.0043,2.060,0
300.0,1444.247,0.119938,-0.0037,2.058,0
330.0,1382.068,0.119902,-0.0788,1.938,0
360.0,1403.995,0.119781,-0.0566,1.937,0
390.0,1375.800,0.119789,0.0201,1.937,0
420.0,1464.637,0.119821,0.0467,1.937,0
450.0,1435.736,0.119882,0.1013,1.937,0
480.0,1356.584,0.120023,0.0605,2.090,0
510.0,1312.300,0.120003,-0.0618,2.092,0
540.0,1219.855,0.119900,-0.0849,2.094,0
570.0,1172.281,0.119833,-0.1097,2.096,0
600.0,1182.863,0.119681,-0.1087,2.098,0
630.0,1258.102,0.119616,-0.0614,2.100,0
660.0,1395.097,0.119558,-0.0478,1.938,0
690.0,1452.718,0.119520,0.0136,1.938,0
720.0,1359.914,0.119585,0.0626,1.938,0
750.0,1258.050,0.119645,-0.0196,1.939,0
780.0,1226.116,0.119546,-0.0807,1.939,0
810.0,1156.038,0.119484,-0.0818,1.940,0
840.0,1102.055,0.119382,-0.1009,1.940,0
870.0,1066.076,0.119282,-0.0625,1.941,0
900.0,1056.973,0.119257,0.0166,1.942,0
930.0,1067.136,0.119315,0.0213,1.943,0
960.0,1061.334,0.119300,-0.0119,1.943,0
990.0,1058.222,0.119291,-0.0515,2.025,0
1020.0,1135.542,0.119197,-0.0872,2.024,0
1050.0,1131.069,0.119117,-0.0520,2.023,0
1080.0,1118.185,0.119093,-0.0103,2.379,0
1110.0,1114.593,0.119096,-0.0108,2.379,0
1140.0,1055.546,0.119071,-0.0186,2.379,0
1170.0,1002.142,0.119059,-0.0627,2.378,0
1200.0,954.351,0.118946,-0.0717,2.378,0
1230.0,936.147,0.118916,0.0141,2.378,0
1260.0,951.808,0.118974,0.0344,2.378,0
1290.0,952.289,0.118985,0.0075,2.378,0
1320.0,928.022,0.118989,0.0428,2.378,0
1350.0,919.894,0.119070,0.1216,2.379,0
1380.0,882.941,0.119232,0.0771,2.379,0
1410.0,867.503,0.119224,-0.0296,2.380,0
1440.0,850.663,0.119173,-0.0647,2.380,0
1470.0,870.541,0.119095,-0.0483,2.309,0
1500.0,842.114,0.119076,-0.0259,2.307,0
1530.0,779.224,0.119043,-0.0296,2.306,0
1560.0,766.936,0.119017,-0.0293,2.305,0
1590.0,765.288,0.118985,0.0224,2.304,0
1620.0,744.531,0.119062,0.0583,2.302,0
1650.0,750.002,0.119101,0.0584,2.301,0
1680.0,750.745,0.119179,0.0935,2.300,0
1710.0,734.242,0.119288,0.0403,2.300,0
1740.0,746.829,0.119259,-0.0103,2.299,0
1770.0,728.280,0.119268,-0.0139,2.471,0
1800.0,701.114,0.119232,-0.0537,2.467,0
1830.0,695.539,0.119160,-0.0245,2.463,0
1860.0,687.756,0.119183,-0.0021,2.459,0
1890.0,681.998,0.119156,-0.0259,2.455,0
1920.0,674.524,0.119131,-0.0247,2.453,0
1950.0,665.248,0.119107,-0.0282,2.248,0
1980.0,641.885,0.119075,-0.0313,2.243,0
2010.0,628.333,0.119044,-0.0440,2.238,0
2040.0,572.231,0.118987,-0.0299,2.233,0
2070.0,568.230,0.118984,-0.0086,2.228,0
2100.0,558.397,0.118969,-0.0204,2.224,0
2130.0,526.647,0.118943,-0.0364,2.219,0
2160.0,526.244,0.118897,-0.0544,2.435,0
2190.0,534.289,0.118835,-0.0459,2.433,0
2220.0,559.865,0.118805,-0.0152,2.431,0
2250.0,575.219,0.118804,0.0091,2.420,0
2280.0,583.265,0.118823,0.0512,2.418,0
2310.0,590.770,0.118907,0.0486,2.416,0
2340.0,589.983,0.118920,-0.0125,2.195,0
2370.0,592.619,0.118882,0.0140,2.302,0
2400.0,583.668,0.118948,0.0808,2.300,0
2430.0,568.645,0.119043,0.0775,2.299,0
2460.0,551.950,0.119103,0.0205,2.297,0
2490.0,529.094,0.119084,-0.0170,2.176,0
2520.0,515.821,0.119069,-0.0547,2.173,0
2550.0,516.681,0.118975,-0.0582,2.170,0
2580.0,515.119,0.118952,0.0855,2.167,0
2610.0,501.097,0.119146,0.1054,2.164,0
2640.0,499.893,0.119163,-0.0104,2.161,0
2670.0,501.777,0.119125,-0.0324,2.158,0
2700.0,484.568,0.119098,-0.0545,2.155,0
2730.0,450.234,0.119016,-0.0047,2.153,0
2760.0,433.161,0.119089,0.0644,2.150,0
2790.0,429.610,0.119145,0.0793,2.148,0
2820.0,428.966,0.119248,0.0587,2.146,0
2850.0,426.797,0.119262,0.0085,2.143,0
2880.0,428.161,0.119265,0.0569,2.141,0
2910.0,425.756,0.119376,0.1279,2.140,0
2940.0,405.698,0.119520,0.1167,2.138,0
2970.0,395.611,0.119610,0.0589,2.136,0
3000.0,400.163,0.119638,0.0072,2.092,0
3030.0,400.148,0.119624,-0.0570,2.133,0
3060.0,384.327,0.119524,-0.0670,2.132,0
3090.0,366.457,0.119490,0.0086,2.131,0
3120.0,357.367,0.119541,0.0284,2.085,0
3150.0,351.386,0.119547,0.0107,2.129,0
3180.0,353.431,0.119563,0.0196,2.082,0
3210.0,350.273,0.119586,0.0284,2.081,0
3240.0,366.083,0.119619,0.0177,2.080,0
3270.0,366.369,0.119621,0.0180,2.273,0
3300.0,369.003,0.119655,0.0110,2.275,0
3330.0,364.812,0.119643,-0.0090,2.078,0
3360.0,362.870,0.119637,0.0022,2.077,0
3390.0,356.171,0.119648,0.0068,2.077,0
3420.0,344.863,0.119651,0.0185,1.933,0
3450.0,336.772,0.119684,0.0362,1.931,0
3480.0,328.909,0.119723,0.0285,1.930,0
3510.0,321.998,0.119741,0.0130,1.928,0
3540.0,318.188,0.119749,0.0195,1.927,0
3570.0,309.038,0.119780,0.0402,1.925,0
3600.0,311.669,0.119830,0.0433,1.924,0
3630.0,310.143,0.119867,0.0569,1.923,0
3660.0,303.880,0.119943,0.0527,1.922,0
3690.0,295.143,0.119973,0.0550,1.922,0
3720.0,285.188,0.120053,0.0691,1.921,0
3750.0,270.302,0.120111,0.0889,1.921,0
3780.0,271.086,0.120231,0.0804,1.920,0
3810.0,260.163,0.120271,0.0270,1.736,0
3840.0,258.879,0.120285,0.0240,1.732,0
3870.0,266.368,0.120319,0.0285,1.727,0
3900.0,268.171,0.120342,0.0180,1.723,0
3930.0,260.080,0.120355,0.0102,1.718,0
3960.0,246.179,0.120363,0.0038,1.714,0
3990.0,238.929,0.120363,0.0183,1.710,0
4020.0,237.153,0.120399,0.0394,1.706,0
4050.0,231.262,0.120442,0.0329,1.702,0
4080.0,225.428,0.120465,0.0112,1.698,0
4110.0,220.838,0.120464,0.0015,1.694,0
4140.0,209.544,0.120468,0.0265,1.690,0
4170.0,183.191,0.120517,0.0195,1.686,0
4200.0,182.585,0.120507,0.0025,1.682,0
4230.0,178.482,0.120522,0.0286,1.933,0
4260.0,163.132,0.120564,0.0198,1.930,0
4290.0,143.479,0.120562,-0.0019,2.117,0
4320.0,134.390,0.120561,-0.0001,2.116,0
4350.0,125.953,0.120562,-0.0005,2.116,0
4380.0,119.967,0.120559,-0.0161,1.918,0
4410.0,126.504,0.120529,-0.0233,1.916,0
4440.0,119.992,0.120513,-0.0066,1.913,0
4470.0,111.006,0.120516,-0.0065,1.911,0
4500.0,114.720,0.120500,-0.0173,1.908,0
4530.0,115.906,0.120482,-0.0098,1.906,0
4560.0,110.025,0.120480,0.0520,1.903,0
4590.0,76.479,0.120586,0.0660,1.901,0
4620.0,72.952,0.120612,0.0271,1.899,0
4650.0,70.674,0.120640,0.0080,1.897,0
4680.0,68.714,0.120628,0.0100,1.895,0
4710.0,60.839,0.120660,0.0315,1.893,0
4740.0,53.985,0.120691,0.0499,1.891,0
4770.0,40.859,0.120760,0.0562,1.889,0
4800.0,21.947,0.120803,0.0451,1.887,0
4830.0,12.663,0.120850,0.0349,1.885,0
4860.0,9.034,0.120873,0.0155,1.884,0
4890.0,8.747,0.120881,0.0318,1.882,0
4920.0,5.068,0.120937,-0.0007,1.881,0
4950.0,5.849,0.120880,-0.0543,1.879,0
4980.0,7.380,0.120828,-0.0204,1.878,0
5010.0,8.872,0.120839,0.0191,1.876,0
5040.0,7.169,0.120867,-0.0256,1.875,0
5070.0,1.346,0.120788,-0.0531,1.874,0
5100.0,-10.443,0.120760,-0.0394,1.873,0
5130.0,-13.497,0.120709,-0.0311,1.872,0
5160.0,-14.705,0.120698,-0.0035,1.871,0
