Date,Time,Seconds_of_Day,X_ECEF(m),Y_ECEF(m),Z_ECEF(m)
2026/02/07,00:00:00.000,0.0,1337935.8735,6070318.1919,1427876.6377
2026/02/07,00:00:30.000,30.0,1337937.1137,6070318.3956,1427876.7386
2026/02/07,00:01:00.000,60.0,1337938.4912,6070319.6007,1427877.3161
2026/02/07,00:01:30.000,90.0,1337938.863,6070319.9081,1427877.7865
2026/02/07,00:02:00.000,120.0,1337938.7931,6070319.9796,1427878.0634
2026/02/07,00:02:30.000,150.0,1337938.4977,6070319.6379,1427878.1289
2026/02/07,00:03:00.000,180.0,1337938.1985,6070319.0524,1427878.0898
2026/02/07,00:03:30.000,210.0,1337937.7737,6070318.7195,1427877.9049
2026/02/07,00:04:00.000,240.0,1337936.9453,6070318.2263,1427877.5581
2026/02/07,00:04:30.000,270.0,1337936.006,6070317.4807,1427877.3881
2026/02/07,00:05:00.000,300.0,1337935.781,6070316.9378,1427877.3866
2026/02/07,00:05:30.000,330.0,1337935.7809,6070316.8879,1427877.3659
2026/02/07,00:06:00.000,360.0,1337935.7844,6070316.9094,1427877.3785
2026/02/07,00:06:30.000,390.0,1337935.8084,6070316.8916,1427877.3739
2026/02/07,00:07:00.000,420.0,1337935.8352,6070316.8903,1427877.3792
2026/02/07,00:07:30.000,450.0,1337935.8807,6070316.877,1427877.3816
2026/02/07,00:08:00.000,480.0,1337935.9373,6070316.8716,1427877.3987
2026/02/07,00:08:30.000,510.0,1337935.9672,6070316.8481,1427877.4057
2026/02/07,00:09:00.000,540.0,1337935.9869,6070316.7745,1427877.4143
2026/02/07,00:09:30.000,570.0,1337935.9067,6070316.6144,1427877.4128
2026/02/07,00:10:00.000,600.0,1337935.678,6070316.5737,1427877.3073
2026/02/07,00:10:30.000,630.0,1337935.658,6070316.5801,1427877.3287
2026/02/07,00:11:00.000,660.0,1337935.6656,6070316.5812,1427877.3502
2026/02/07,00:11:30.000,690.0,1337935.667,6070316.5924,1427877.3577
2026/02/07,00:12:00.000,720.0,1337935.6726,6070316.5944,1427877.3554
2026/02/07,00:12:30.000,750.0,1337935.684,6070316.589,1427877.3543
2026/02/07,00:13:00.000,780.0,1337935.6836,6070316.5931,1427877.358
2026/02/07,00:13:30.000,810.0,1337935.6759,6070316.6054,1427877.3633
2026/02/07,00:14:00.000,840.0,1337935.6443,6070316.6346,1427877.3689
2026/02/07,00:14:30.000,870.0,1337935.5458,6070316.7096,1427877.3775
2026/02/07,00:15:00.000,900.0,1337935.4096,6070316.7996,1427877.3633
2026/02/07,00:15:30.000,930.0,1337935.4062,6070316.7852,1427877.3631
2026/02/07,00:16:00.000,960.0,1337935.4264,6070316.7851,1427877.3727
2026/02/07,00:16:30.000,990.0,1337935.4389,6070316.7861,1427877.3767
2026/02/07,00:17:00.000,1020.0,1337935.4415,6070316.7968,1427877.3818
2026/02/07,00:17:30.000,1050.0,1337935.4403,6070316.7937,1427877.3802
2026/02/07,00:18:00.000,1080.0,1337935.4379,6070316.795,1427877.3789
2026/02/07,00:18:30.000,1110.0,1337935.4433,6070316.7955,1427877.3799
2026/02/07,00:19:00.000,1140.0,1337935.4488,6070316.7861,1427877.3763
2026/02/07,00:19:30.000,1170.0,1337935.4571,6070316.7655,1427877.3653
2026/02/07,00:20:00.000,1200.0,1337935.4511,6070316.7502,1427877.328
2026/02/07,00:20:30.000,1230.0,1337935.4458,6070316.7318,1427877.3144
2026/02/07,00:21:00.000,1260.0,1337935.4475,6070316.7296,1427877.312
2026/02/07,00:21:30.000,1290.0,1337935.4497,6070316.728,1427877.3118
2026/02/07,00:22:00.000,1320.0,1337935.4486,6070316.7267,1427877.3105
2026/02/07,00:22:30.000,1350.0,1337935.45,6070316.7259,1427877.3093
2026/02/07,00:23:00.000,1380.0,1337935.4521,6070316.7256,1427877.3085
2026/02/07,00:23:30.000,1410.0,1337935.4505,6070316.7196,1427877.3052
2026/02/07,00:24:00.000,1440.0,1337935.4443,6070316.7195,1427877.3027
2026/02/07,00:24:30.000,1470.0,1337935.4366,6070316.7233,1427877.3008
2026/02/07,00:25:00.000,1500.0,1337935.4243,6070316.7512,1427877.2954
2026/02/07,00:25:30.000,1530.0,1337935.4346,6070316.7603,1427877.3026
2026/02/07,00:26:00.000,1560.0,1337935.4376,6070316.7792,1427877.3094
2026/02/07,00:26:30.000,1590.0,1337935.4388,6070316.7893,1427877.3132
2026/02/07,00:27:00.000,1620.0,1337935.4385,6070316.7914,1427877.3141
2026/02/07,00:27:30.000,1650.0,1337935.4408,6070316.7968,1427877.3166
2026/02/07,00:28:00.000,1680.0,1337935.4422,6070316.7992,1427877.3181
2026/02/07,00:28:30.000,1710.0,1337935.4381,6070316.787,1427877.3145
2026/02/07,00:29:00.000,1740.0,1337935.4318,6070316.7871,1427877.3151
2026/02/07,00:29:30.000,1770.0,1337935.3981,6070316.7741,1427877.3051
2026/02/07,00:30:00.000,1800.0,1337935.3409,6070316.7797,1427877.2992
