SOD,X,Y,Z
210.0,1337935.7465,6070319.1668,1427878.472
240.0,1337935.3217,6070318.6533,1427878.0406
270.0,1337935.075,6070318.1051,1427877.7654
300.0,1337934.8291,6070318.1111,1427877.9959
330.0,1337934.9975,6070317.8757,1427878.0133
360.0,1337934.815,6070317.854,1427878.0315
390.0,1337934.925,6070317.7259,1427878.0211
420.0,1337934.913,6070317.7819,1427878.0227
450.0,1337935.0039,6070317.8126,1427878.0111
480.0,1337935.0145,6070317.6642,1427877.9563
510.0,1337935.021,6070317.6567,1427877.9354
540.0,1337935.1057,6070317.6444,1427877.8987
570.0,1337935.184,6070317.7028,1427877.9003
600.0,1337935.1739,6070317.8464,1427877.9379
630.0,1337935.1661,6070317.952,1427877.9523
660.0,1337935.1427,6070318.0522,1427877.9769
690.0,1337935.1501,6070318.0853,1427877.9764
720.0,1337935.1384,6070318.0696,1427877.9512
750.0,1337935.1555,6070317.9526,1427877.8955
780.0,1337935.1957,6070317.9068,1427877.8892
810.0,1337935.1829,6070317.7184,1427877.8143
840.0,1337935.1624,6070317.537,1427877.738
870.0,1337935.1463,6070317.3953,1427877.68
900.0,1337935.1537,6070317.2851,1427877.6302
930.0,1337935.2106,6070317.255,1427877.6182
960.0,1337935.2468,6070317.2329,1427877.6038
990.0,1337935.2971,6070317.1981,1427877.5877
1020.0,1337935.3267,6070317.1657,1427877.5681
1050.0,1337935.3472,6070317.111,1427877.5365
1080.0,1337935.3581,6070317.0587,1427877.5064
1110.0,1337935.3624,6070317.0304,1427877.4865
1140.0,1337935.3722,6070316.999,1427877.4736
1170.0,1337935.3676,6070316.9308,1427877.4454
1200.0,1337935.354,6070316.875,1427877.4229
1230.0,1337935.3518,6070316.8111,1427877.3943
1260.0,1337935.3698,6070316.7789,1427877.3842
1290.0,1337935.3957,6070316.8,1427877.3953
1320.0,1337935.3964,6070316.8059,1427877.3945
1350.0,1337935.3954,6070316.7969,1427877.3868
1380.0,1337935.4053,6070316.7995,1427877.3841
1410.0,1337935.4131,6070316.8063,1427877.3843
1440.0,1337935.4243,6070316.8123,1427877.3871
1470.0,1337935.4351,6070316.8256,1427877.3906
1500.0,1337935.4469,6070316.8385,1427877.3935
1530.0,1337935.4721,6070316.8635,1427877.4038
1560.0,1337935.498,6070316.9025,1427877.4214
1590.0,1337935.5185,6070316.9397,1427877.4363
1620.0,1337935.525,6070316.9578,1427877.4411
1650.0,1337935.5405,6070316.9966,1427877.4557
1680.0,1337935.5463,6070317.0159,1427877.4627
1710.0,1337935.5057,6070316.9676,1427877.4367
1740.0,1337935.479,6070316.9464,1427877.424
1770.0,1337935.444,6070316.9105,1427877.4029
1800.0,1337935.4269,6070316.8909,1427877.3906
1830.0,1337935.4149,6070316.8829,1427877.386
1860.0,1337935.3995,6070316.8679,1427877.377
1890.0,1337935.3911,6070316.8658,1427877.3755
1920.0,1337935.3926,6070316.8856,1427877.385
1950.0,1337935.3986,6070316.9019,1427877.3936
1980.0,1337935.4001,6070316.9098,1427877.3974
2010.0,1337935.3973,6070316.9088,1427877.3965
2040.0,1337935.393,6070316.9037,1427877.393
2070.0,1337935.3923,6070316.9057,1427877.3935
