SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.295,+9.545,-2.135,+55.636,-198.218,205.889,8,0,0,2.0909,0.1207,2.2115,2404.52,nan
30.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.296,+9.545,-2.135,+55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2112,1419.67,1951.180
60.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.296,+9.545,-2.136,+55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2113,2132.31,1057.641
90.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.296,+9.545,-2.136,+55.636,-198.218,205.889,8,0,0,2.0909,0.1205,2.2113,2433.23,989.093
120.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.296,+9.545,-2.136,+55.636,-198.218,205.889,8,0,0,2.0909,0.1205,2.2114,3493.12,1232.994
150.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.296,+9.545,-2.136,+55.636,-198.218,205.889,8,0,0,2.0909,0.1205,2.2113,1363.05,1216.229
180.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.296,+9.545,-2.136,+55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2113,596.66,1317.374
210.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.180,-201.296,+9.544,-2.136,+55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2113,1415.13,1158.308
240.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.179,-201.297,+9.544,-2.136,+55.636,-198.219,205.890,8,0,0,2.0909,0.1188,2.2096,1431.06,1501.002
270.0,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.179,-201.297,+9.544,-2.137,+55.635,-198.219,205.890,8,0,0,2.0909,0.1189,2.2097,879.25,1710.045
